full_name,url,star
patrickloeber/python-fun,https://github.com/patrickloeber/python-fun,517
fighting41love/funNLP,https://github.com/fighting41love/funNLP,49724
mlhoffmann/PythonFundamentos,https://github.com/mlhoffmann/PythonFundamentos,2
zhao94254/fun,https://github.com/zhao94254/fun,186
pdeitel/PythonFundamentalsLiveLessons,https://github.com/pdeitel/PythonFundamentalsLiveLessons,282
bamos/python-scripts,https://github.com/bamos/python-scripts,197
sfermigier/awesome-functional-python,https://github.com/sfermigier/awesome-functional-python,1987
cedricporter/funcat,https://github.com/cedricporter/funcat,841
yokawasa/azure-functions-python-samples,https://github.com/yokawasa/azure-functions-python-samples,359
milaan9/04_Python_Functions,https://github.com/milaan9/04_Python_Functions,217
noahgift/functional_intro_to_python,https://github.com/noahgift/functional_intro_to_python,280
Python-World/Python_and_the_Web,https://github.com/Python-World/Python_and_the_Web,635
GoogleCloudPlatform/functions-framework-python,https://github.com/GoogleCloudPlatform/functions-framework-python,674
dlab-berkeley/Python-Fundamentals,https://github.com/dlab-berkeley/Python-Fundamentals,162
Suor/funcy,https://github.com/Suor/funcy,3062
EntilZha/PyFunctional,https://github.com/EntilZha/PyFunctional,2165
Azure/azure-functions-python-worker,https://github.com/Azure/azure-functions-python-worker,302
caiorss/Functional-Programming,https://github.com/caiorss/Functional-Programming,2659
bnajafi/Python4ScientificComputing_Fundamentals,https://github.com/bnajafi/Python4ScientificComputing_Fundamentals,59
ZhangBohan/fun_crawler,https://github.com/ZhangBohan/fun_crawler,162
InoveAlumnos/funciones_python,https://github.com/InoveAlumnos/funciones_python,11
nuxeo/FunkLoad,https://github.com/nuxeo/FunkLoad,378
mtianyan/FunpySpiderSearchEngine,https://github.com/mtianyan/FunpySpiderSearchEngine,907
TrainingByPackt/Python-API-Development-Fundamentals,https://github.com/TrainingByPackt/Python-API-Development-Fundamentals,110
learn-co-students/python-defining-functions-readme-data-science-intro-000,https://github.com/learn-co-students/python-defining-functions-readme-data-science-intro-000,2
dunossauro/python-funcional,https://github.com/dunossauro/python-funcional,244
npshub/python-fundamentals,https://github.com/npshub/python-fundamentals,18
aws/aws-step-functions-data-science-sdk-python,https://github.com/aws/aws-step-functions-data-science-sdk-python,251
Azure/azure-functions-python-library,https://github.com/Azure/azure-functions-python-library,102
ydf0509/funboost,https://github.com/ydf0509/funboost,425
